Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.83964347839
Iter = 0, Error = 0.482303866836, Accuracy = 0.9026, Time = 0.30179810524
Iter = 1, Error = 0.295496543369, Accuracy = 0.9209, Time = 0.330611944199
Iter = 2, Error = 0.244322627516, Accuracy = 0.9343, Time = 0.327144145966
Iter = 3, Error = 0.204321633138, Accuracy = 0.9472, Time = 0.295053005219
Iter = 4, Error = 0.173335897991, Accuracy = 0.9547, Time = 0.301025152206
Iter = 5, Error = 0.149254183683, Accuracy = 0.9604, Time = 0.293121814728
Iter = 6, Error = 0.130184192234, Accuracy = 0.9644, Time = 0.293309926987
Iter = 7, Error = 0.114760032967, Accuracy = 0.9667, Time = 0.293792963028
Iter = 8, Error = 0.102051691721, Accuracy = 0.9693, Time = 0.292254209518
Iter = 9, Error = 0.0914033427596, Accuracy = 0.9704, Time = 0.295210123062
Iter = 10, Error = 0.0823434378328, Accuracy = 0.9714, Time = 0.29313993454
Iter = 11, Error = 0.0745336174598, Accuracy = 0.9733, Time = 0.643249034882
Iter = 12, Error = 0.0677275813216, Accuracy = 0.9741, Time = 0.295120954514
Iter = 13, Error = 0.061741291431, Accuracy = 0.9742, Time = 0.299362897873
Iter = 14, Error = 0.0564339600046, Accuracy = 0.9744, Time = 0.294215202332
Iter = 15, Error = 0.0516962888805, Accuracy = 0.9753, Time = 0.292569160461
Iter = 16, Error = 0.0474431303537, Accuracy = 0.9757, Time = 0.294353961945
Iter = 17, Error = 0.0436080312618, Accuracy = 0.9766, Time = 0.291622161865
Iter = 18, Error = 0.0401383683781, Accuracy = 0.9776, Time = 0.298032999039
Iter = 19, Error = 0.036991179729, Accuracy = 0.9778, Time = 0.291824102402
Iter = 20, Error = 0.0341302197989, Accuracy = 0.978, Time = 0.294637918472
Iter = 21, Error = 0.0315240941694, Accuracy = 0.9783, Time = 0.291911125183
Iter = 22, Error = 0.0291453376305, Accuracy = 0.9786, Time = 0.294343948364
Iter = 23, Error = 0.0269701674871, Accuracy = 0.979, Time = 0.291164875031
Iter = 24, Error = 0.0249783118164, Accuracy = 0.9788, Time = 0.296561956406
Iter = 25, Error = 0.0231524675613, Accuracy = 0.9786, Time = 0.291306972504
Iter = 26, Error = 0.0214777408159, Accuracy = 0.9786, Time = 0.294399023056
Iter = 27, Error = 0.0199411494748, Accuracy = 0.9792, Time = 0.294983863831
Iter = 28, Error = 0.0185312632712, Accuracy = 0.9792, Time = 0.294152021408
Iter = 29, Error = 0.0172379068903, Accuracy = 0.9791, Time = 0.2928211689
Iter = 30, Error = 0.0160518811028, Accuracy = 0.9792, Time = 0.295114040375
Iter = 31, Error = 0.0149647008956, Accuracy = 0.9795, Time = 0.291041135788
Iter = 32, Error = 0.0139683983625, Accuracy = 0.9796, Time = 0.297190904617
Iter = 33, Error = 0.0130554619722, Accuracy = 0.9797, Time = 0.29133105278
Iter = 34, Error = 0.0122188473677, Accuracy = 0.9797, Time = 0.294154167175
Iter = 35, Error = 0.0114519807172, Accuracy = 0.9801, Time = 0.302523851395
Iter = 36, Error = 0.0107487191064, Accuracy = 0.9798, Time = 0.305145025253
Iter = 37, Error = 0.0101033351783, Accuracy = 0.9799, Time = 0.32008600235
Iter = 38, Error = 0.00951053646853, Accuracy = 0.98, Time = 0.29274892807
Iter = 39, Error = 0.00896552341211, Accuracy = 0.9802, Time = 0.293466091156
Iter = 40, Error = 0.0084640122563, Accuracy = 0.9801, Time = 0.293792963028
Iter = 41, Error = 0.0080022143097, Accuracy = 0.98, Time = 0.578686952591
Iter = 42, Error = 0.00757677306134, Accuracy = 0.98, Time = 0.302409172058
Iter = 43, Error = 0.00718465367632, Accuracy = 0.98, Time = 0.301470994949
Iter = 44, Error = 0.00682306643355, Accuracy = 0.9799, Time = 0.303999900818
Iter = 45, Error = 0.00648939588269, Accuracy = 0.9801, Time = 0.300992965698
Iter = 46, Error = 0.00618118822085, Accuracy = 0.9801, Time = 0.29643201828
Iter = 47, Error = 0.0058961492928, Accuracy = 0.9801, Time = 0.291579961777
Iter = 48, Error = 0.00563215575856, Accuracy = 0.98, Time = 0.294026136398
Iter = 49, Error = 0.00538726857342, Accuracy = 0.9802, Time = 0.292945861816
Iter = 50, Error = 0.00515973698253, Accuracy = 0.9803, Time = 0.294280052185
Iter = 51, Error = 0.00494798453113, Accuracy = 0.9804, Time = 0.292090177536
Iter = 52, Error = 0.00475059987818, Accuracy = 0.9805, Time = 0.293449163437
Iter = 53, Error = 0.00456631773576, Accuracy = 0.9805, Time = 0.292034864426
Iter = 54, Error = 0.00439400072215, Accuracy = 0.9804, Time = 0.292964935303
Iter = 55, Error = 0.00423262320424, Accuracy = 0.9806, Time = 0.291436910629
Iter = 56, Error = 0.00408126287194, Accuracy = 0.9807, Time = 0.293059825897
Iter = 57, Error = 0.00393908452365, Accuracy = 0.9808, Time = 0.291671037674
Iter = 58, Error = 0.00380533929709, Accuracy = 0.9809, Time = 0.294496059418
Iter = 59, Error = 0.00367934743265, Accuracy = 0.9809, Time = 0.291986942291
Iter = 60, Error = 0.00356049671554, Accuracy = 0.9809, Time = 0.293787956238
Iter = 61, Error = 0.00344823554392, Accuracy = 0.9809, Time = 0.291275978088
Iter = 62, Error = 0.00334206563608, Accuracy = 0.9811, Time = 0.523941040039
Iter = 63, Error = 0.00324153151947, Accuracy = 0.9812, Time = 0.303133010864
Iter = 64, Error = 0.00314622469034, Accuracy = 0.9813, Time = 0.292549133301
Iter = 65, Error = 0.00305577176449, Accuracy = 0.9813, Time = 0.294715881348
Iter = 66, Error = 0.00296983184777, Accuracy = 0.9813, Time = 0.292858123779
Iter = 67, Error = 0.00288809489732, Accuracy = 0.9812, Time = 0.314678907394
Iter = 68, Error = 0.00281027706636, Accuracy = 0.981, Time = 0.29231595993
Iter = 69, Error = 0.00273611902035, Accuracy = 0.981, Time = 0.29377913475
Iter = 70, Error = 0.00266538268794, Accuracy = 0.9809, Time = 0.292434930801
Iter = 71, Error = 0.00259784877065, Accuracy = 0.9809, Time = 0.293638944626
Iter = 72, Error = 0.00253331707426, Accuracy = 0.9809, Time = 0.292263031006
Iter = 73, Error = 0.00247159958205, Accuracy = 0.9809, Time = 0.293844938278
Iter = 74, Error = 0.00241252816396, Accuracy = 0.9809, Time = 0.292668819427
Iter = 75, Error = 0.00235594357269, Accuracy = 0.9809, Time = 0.294143915176
Iter = 76, Error = 0.00230169973729, Accuracy = 0.9809, Time = 0.292968034744
Iter = 77, Error = 0.00224966234225, Accuracy = 0.9809, Time = 0.293967008591
Iter = 78, Error = 0.0021997047723, Accuracy = 0.9809, Time = 0.292913913727
Iter = 79, Error = 0.00215171134721, Accuracy = 0.9809, Time = 0.292047023773
Iter = 80, Error = 0.00210557328119, Accuracy = 0.981, Time = 0.292415142059
Iter = 81, Error = 0.00206119071036, Accuracy = 0.981, Time = 0.292596101761
Iter = 82, Error = 0.00201846931822, Accuracy = 0.981, Time = 0.302767038345
Iter = 83, Error = 0.0019773224928, Accuracy = 0.9811, Time = 0.294986009598
Iter = 84, Error = 0.00193766769981, Accuracy = 0.9812, Time = 0.296308040619
Iter = 85, Error = 0.00189942938222, Accuracy = 0.9812, Time = 0.293838024139
Iter = 86, Error = 0.00186253621047, Accuracy = 0.9812, Time = 0.295000076294
Iter = 87, Error = 0.00182692160698, Accuracy = 0.9814, Time = 0.292469024658
Iter = 88, Error = 0.00179252312879, Accuracy = 0.9814, Time = 0.294899940491
Iter = 89, Error = 0.00175928204153, Accuracy = 0.9814, Time = 0.291885137558
Iter = 90, Error = 0.00172714350517, Accuracy = 0.9814, Time = 0.295835971832
Iter = 91, Error = 0.00169605575852, Accuracy = 0.9813, Time = 0.291577100754
Iter = 92, Error = 0.00166597026293, Accuracy = 0.9813, Time = 0.294126987457
Iter = 93, Error = 0.00163684136276, Accuracy = 0.9813, Time = 0.292927026749
Iter = 94, Error = 0.00160862593216, Accuracy = 0.9814, Time = 0.295161008835
Iter = 95, Error = 0.00158128361469, Accuracy = 0.9815, Time = 0.292650938034
Iter = 96, Error = 0.00155477608481, Accuracy = 0.9815, Time = 0.295964956284
Iter = 97, Error = 0.00152906717505, Accuracy = 0.9816, Time = 0.302471876144
Iter = 98, Error = 0.00150412329885, Accuracy = 0.9816, Time = 0.292203903198
Iter = 99, Error = 0.00147991097534, Accuracy = 0.9816, Time = 0.2930560112
