Couldn't import dot_parser, loading of dot files will not be possible.
784 10
4.13888311386
Iter = 0, Error = 0.436884360012, Accuracy = 0.9198, Time = 0.270491123199
Iter = 1, Error = 0.287109315148, Accuracy = 0.93, Time = 0.263555049896
Iter = 2, Error = 0.257925505566, Accuracy = 0.9355, Time = 0.268157958984
Iter = 3, Error = 0.238970603784, Accuracy = 0.9394, Time = 0.277745962143
Iter = 4, Error = 0.224470273232, Accuracy = 0.9423, Time = 0.275778055191
Iter = 5, Error = 0.212586300729, Accuracy = 0.9453, Time = 0.25311923027
Iter = 6, Error = 0.202482554738, Accuracy = 0.949, Time = 0.254772901535
Iter = 7, Error = 0.193694269042, Accuracy = 0.9501, Time = 0.25447010994
Iter = 8, Error = 0.185928359847, Accuracy = 0.952, Time = 0.27427983284
Iter = 9, Error = 0.178984107378, Accuracy = 0.9533, Time = 0.275302886963
Iter = 10, Error = 0.172716081876, Accuracy = 0.9546, Time = 0.283544063568
Iter = 11, Error = 0.167014611623, Accuracy = 0.9551, Time = 0.283694028854
Iter = 12, Error = 0.161794490779, Accuracy = 0.9559, Time = 0.29208612442
Iter = 13, Error = 0.15698795598, Accuracy = 0.9566, Time = 0.284363985062
Iter = 14, Error = 0.152540204708, Accuracy = 0.9577, Time = 0.301506996155
Iter = 15, Error = 0.14840623402, Accuracy = 0.9586, Time = 0.303222179413
Iter = 16, Error = 0.144548716324, Accuracy = 0.9592, Time = 0.255380153656
Iter = 17, Error = 0.140936354961, Accuracy = 0.9599, Time = 0.256749153137
Iter = 18, Error = 0.137542716044, Accuracy = 0.9608, Time = 0.275517225266
Iter = 19, Error = 0.134345280173, Accuracy = 0.9616, Time = 0.575300931931
Iter = 20, Error = 0.131324745295, Accuracy = 0.9621, Time = 0.259665966034
Iter = 21, Error = 0.12846445298, Accuracy = 0.9627, Time = 0.261219978333
Iter = 22, Error = 0.125749933588, Accuracy = 0.9629, Time = 0.296935081482
Iter = 23, Error = 0.123168567119, Accuracy = 0.9633, Time = 0.282176017761
Iter = 24, Error = 0.120709254904, Accuracy = 0.9635, Time = 0.29087805748
Iter = 25, Error = 0.118362226435, Accuracy = 0.9639, Time = 0.283403873444
Iter = 26, Error = 0.116118815301, Accuracy = 0.9642, Time = 0.283067941666
Iter = 27, Error = 0.113971287756, Accuracy = 0.9644, Time = 0.307507991791
Iter = 28, Error = 0.111912751751, Accuracy = 0.9647, Time = 0.282173871994
Iter = 29, Error = 0.109937007498, Accuracy = 0.9649, Time = 0.28134894371
Iter = 30, Error = 0.108038476109, Accuracy = 0.965, Time = 0.283421993256
Iter = 31, Error = 0.106212097289, Accuracy = 0.9653, Time = 0.282341003418
Iter = 32, Error = 0.104453298604, Accuracy = 0.9655, Time = 0.28378200531
Iter = 33, Error = 0.102757902125, Accuracy = 0.9659, Time = 0.268980026245
Iter = 34, Error = 0.101122107276, Accuracy = 0.9661, Time = 0.267170190811
Iter = 35, Error = 0.0995424345155, Accuracy = 0.9663, Time = 0.253643035889
Iter = 36, Error = 0.098015680852, Accuracy = 0.9665, Time = 0.256264925003
Iter = 37, Error = 0.0965389050305, Accuracy = 0.9664, Time = 0.253952026367
Iter = 38, Error = 0.0951094068158, Accuracy = 0.9664, Time = 0.253597974777
Iter = 39, Error = 0.0937246754766, Accuracy = 0.9667, Time = 0.279335021973
Iter = 40, Error = 0.0923823980457, Accuracy = 0.9669, Time = 0.288727045059
Iter = 41, Error = 0.0910804191952, Accuracy = 0.9672, Time = 0.273974180222
Iter = 42, Error = 0.0898167490864, Accuracy = 0.9676, Time = 0.2700278759
Iter = 43, Error = 0.088589527275, Accuracy = 0.9678, Time = 0.606272935867
Iter = 44, Error = 0.0873970178092, Accuracy = 0.9681, Time = 0.26567196846
Iter = 45, Error = 0.0862376131832, Accuracy = 0.9684, Time = 0.266932964325
Iter = 46, Error = 0.0851097955366, Accuracy = 0.9685, Time = 0.253901958466
Iter = 47, Error = 0.0840121529463, Accuracy = 0.969, Time = 0.29492688179
Iter = 48, Error = 0.0829433601807, Accuracy = 0.9691, Time = 0.275775909424
Iter = 49, Error = 0.0819021690008, Accuracy = 0.9692, Time = 0.2642390728
Iter = 50, Error = 0.0808874115091, Accuracy = 0.9692, Time = 0.301958799362
Iter = 51, Error = 0.0798979841239, Accuracy = 0.9692, Time = 0.312775850296
Iter = 52, Error = 0.078932855807, Accuracy = 0.9697, Time = 0.28266787529
Iter = 53, Error = 0.0779910395732, Accuracy = 0.97, Time = 0.288445949554
Iter = 54, Error = 0.0770716163713, Accuracy = 0.9702, Time = 0.286491155624
Iter = 55, Error = 0.0761737135975, Accuracy = 0.9704, Time = 0.288732051849
Iter = 56, Error = 0.0752965033559, Accuracy = 0.9704, Time = 0.31119799614
Iter = 57, Error = 0.0744392038811, Accuracy = 0.9704, Time = 0.277980089188
Iter = 58, Error = 0.0736010796212, Accuracy = 0.9704, Time = 0.269274950027
Iter = 59, Error = 0.0727814200818, Accuracy = 0.9706, Time = 0.277472019196
Iter = 60, Error = 0.0719795630163, Accuracy = 0.9709, Time = 0.260978937149
Iter = 61, Error = 0.0711948716551, Accuracy = 0.971, Time = 0.256349086761
Iter = 62, Error = 0.0704267528194, Accuracy = 0.9712, Time = 0.253928899765
Iter = 63, Error = 0.0696746158268, Accuracy = 0.9716, Time = 0.280292034149
Iter = 64, Error = 0.0689379310859, Accuracy = 0.9717, Time = 0.256615161896
Iter = 65, Error = 0.0682161604995, Accuracy = 0.9721, Time = 0.257157087326
Iter = 66, Error = 0.0675088317798, Accuracy = 0.9721, Time = 0.354307889938
Iter = 67, Error = 0.0668154515045, Accuracy = 0.9725, Time = 0.252737045288
Iter = 68, Error = 0.0661355781624, Accuracy = 0.9725, Time = 0.286187887192
Iter = 69, Error = 0.0654687823399, Accuracy = 0.9726, Time = 0.255271911621
Iter = 70, Error = 0.0648146465545, Accuracy = 0.9726, Time = 0.254739046097
Iter = 71, Error = 0.0641727822945, Accuracy = 0.973, Time = 0.261475086212
Iter = 72, Error = 0.063542809235, Accuracy = 0.973, Time = 0.273091077805
Iter = 73, Error = 0.062924369891, Accuracy = 0.9731, Time = 0.280049085617
Iter = 74, Error = 0.0623171164052, Accuracy = 0.9732, Time = 0.260642051697
Iter = 75, Error = 0.0617207230981, Accuracy = 0.9734, Time = 0.282582998276
Iter = 76, Error = 0.0611348650692, Accuracy = 0.9733, Time = 0.288190126419
Iter = 77, Error = 0.0605592454934, Accuracy = 0.9734, Time = 0.281988143921
Iter = 78, Error = 0.0599935714494, Accuracy = 0.9738, Time = 0.284612178802
Iter = 79, Error = 0.0594375644551, Accuracy = 0.974, Time = 0.282845020294
Iter = 80, Error = 0.0588909549963, Accuracy = 0.9741, Time = 0.295401096344
Iter = 81, Error = 0.0583534841485, Accuracy = 0.9742, Time = 0.285650014877
Iter = 82, Error = 0.0578249034774, Accuracy = 0.9743, Time = 0.285518169403
