Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.63371181488
Iter = 0, Error = 0.459085673208, Accuracy = 0.9237, Time = 0.30699801445
Iter = 1, Error = 0.264257687189, Accuracy = 0.9402, Time = 0.295639038086
Iter = 2, Error = 0.212549545309, Accuracy = 0.9518, Time = 0.276532888412
Iter = 3, Error = 0.174629831872, Accuracy = 0.9577, Time = 0.276482105255
Iter = 4, Error = 0.145675762726, Accuracy = 0.9618, Time = 0.279385089874
Iter = 5, Error = 0.122901913064, Accuracy = 0.9658, Time = 0.280493974686
Iter = 6, Error = 0.10446713982, Accuracy = 0.9682, Time = 0.275621891022
Iter = 7, Error = 0.08923580679, Accuracy = 0.9696, Time = 0.292841911316
Iter = 8, Error = 0.0764751041265, Accuracy = 0.9714, Time = 0.276142835617
Iter = 9, Error = 0.0656716752978, Accuracy = 0.973, Time = 0.274282932281
Iter = 10, Error = 0.0564454024291, Accuracy = 0.9745, Time = 0.274050951004
Iter = 11, Error = 0.0484918127661, Accuracy = 0.9753, Time = 0.27386713028
Iter = 12, Error = 0.041570679967, Accuracy = 0.9756, Time = 0.274943828583
Iter = 13, Error = 0.0355189498145, Accuracy = 0.9757, Time = 0.275715112686
Iter = 14, Error = 0.0302284475954, Accuracy = 0.9766, Time = 0.275190830231
Iter = 15, Error = 0.0256151001974, Accuracy = 0.9773, Time = 0.273146152496
Iter = 16, Error = 0.0216141096626, Accuracy = 0.9776, Time = 0.274630069733
Iter = 17, Error = 0.0181725269631, Accuracy = 0.9775, Time = 0.273463010788
Iter = 18, Error = 0.0152314739645, Accuracy = 0.978, Time = 0.273332118988
Iter = 19, Error = 0.0127308547587, Accuracy = 0.9777, Time = 0.27391409874
Iter = 20, Error = 0.0106095818286, Accuracy = 0.9779, Time = 0.274487018585
Iter = 21, Error = 0.0088104085861, Accuracy = 0.9781, Time = 0.273555040359
Iter = 22, Error = 0.00729063367191, Accuracy = 0.9784, Time = 0.274502038956
Iter = 23, Error = 0.00602328417289, Accuracy = 0.9786, Time = 0.272810935974
Iter = 24, Error = 0.00497422066099, Accuracy = 0.9788, Time = 0.274493932724
Iter = 25, Error = 0.00410185042394, Accuracy = 0.9793, Time = 0.275232791901
Iter = 26, Error = 0.00338105758799, Accuracy = 0.9794, Time = 0.275788068771
Iter = 27, Error = 0.00279097344525, Accuracy = 0.9793, Time = 0.27934384346
Iter = 28, Error = 0.00230757236097, Accuracy = 0.9792, Time = 0.306777000427
Iter = 29, Error = 0.00191025783552, Accuracy = 0.9794, Time = 0.567107200623
Iter = 30, Error = 0.001583134379, Accuracy = 0.9794, Time = 0.273869037628
Iter = 31, Error = 0.00131360422064, Accuracy = 0.979, Time = 0.27334189415
Iter = 32, Error = 0.00109112721811, Accuracy = 0.9793, Time = 0.273941040039
Iter = 33, Error = 0.000906998661253, Accuracy = 0.9795, Time = 0.272509098053
Iter = 34, Error = 0.000754280590236, Accuracy = 0.9795, Time = 0.274837017059
Iter = 35, Error = 0.000627444985578, Accuracy = 0.9794, Time = 0.272482156754
Iter = 36, Error = 0.000521986440899, Accuracy = 0.9794, Time = 0.273641824722
Iter = 37, Error = 0.000434230489228, Accuracy = 0.9795, Time = 0.298542022705
Iter = 38, Error = 0.000361186745091, Accuracy = 0.9794, Time = 0.274525165558
Iter = 39, Error = 0.000300397808591, Accuracy = 0.9794, Time = 0.272949934006
Iter = 40, Error = 0.00024982991798, Accuracy = 0.9795, Time = 0.274981975555
Iter = 41, Error = 0.000207734654354, Accuracy = 0.9795, Time = 0.273746013641
Iter = 42, Error = 0.00017269153722, Accuracy = 0.9795, Time = 0.29453587532
Iter = 43, Error = 0.000143498234996, Accuracy = 0.9797, Time = 0.273021936417
Iter = 44, Error = 0.000119200247178, Accuracy = 0.9797, Time = 0.273456096649
Iter = 45, Error = 9.89577881677e-05, Accuracy = 0.9799, Time = 0.273210048676
Iter = 46, Error = 8.20728127531e-05, Accuracy = 0.9802, Time = 0.273749113083
Iter = 47, Error = 6.79483076304e-05, Accuracy = 0.9801, Time = 0.273355007172
Iter = 48, Error = 5.61576396979e-05, Accuracy = 0.9809, Time = 0.272601127625
Iter = 49, Error = 4.63738035839e-05, Accuracy = 0.9814, Time = 0.273619890213
Iter = 50, Error = 3.83043430502e-05, Accuracy = 0.9817, Time = 0.272640943527
Iter = 51, Error = 3.16464072151e-05, Accuracy = 0.9816, Time = 0.274135112762
Iter = 52, Error = 2.61595111113e-05, Accuracy = 0.9817, Time = 0.272944927216
Iter = 53, Error = 2.1639338269e-05, Accuracy = 0.9817, Time = 0.275499105453
