Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.87392616272
Iter = 0, Error = 0.523490106244, Accuracy = 0.9115, Time = 0.343667030334
Iter = 1, Error = 0.305759366421, Accuracy = 0.9258, Time = 0.339172124863
Iter = 2, Error = 0.264791245675, Accuracy = 0.9348, Time = 0.35492682457
Iter = 3, Error = 0.232731233911, Accuracy = 0.9435, Time = 0.356113910675
Iter = 4, Error = 0.205494813983, Accuracy = 0.9508, Time = 0.357614994049
Iter = 5, Error = 0.182413047327, Accuracy = 0.9559, Time = 0.385355949402
Iter = 6, Error = 0.162928871277, Accuracy = 0.9607, Time = 0.342981815338
Iter = 7, Error = 0.146458442721, Accuracy = 0.9637, Time = 0.345601081848
Iter = 8, Error = 0.132451234266, Accuracy = 0.9659, Time = 0.348264932632
Iter = 9, Error = 0.120435462764, Accuracy = 0.9669, Time = 0.346469163895
Iter = 10, Error = 0.110027992098, Accuracy = 0.969, Time = 0.345602035522
Iter = 11, Error = 0.100926539701, Accuracy = 0.9702, Time = 0.346354961395
Iter = 12, Error = 0.092896936004, Accuracy = 0.9717, Time = 0.341310024261
Iter = 13, Error = 0.0857581433142, Accuracy = 0.9727, Time = 0.336775779724
Iter = 14, Error = 0.079368083128, Accuracy = 0.9725, Time = 0.376806020737
Iter = 15, Error = 0.0736129660745, Accuracy = 0.9731, Time = 0.358620166779
Iter = 16, Error = 0.0684002879793, Accuracy = 0.9733, Time = 0.343175172806
Iter = 17, Error = 0.0636543349584, Accuracy = 0.9741, Time = 0.354804992676
Iter = 18, Error = 0.0593131698068, Accuracy = 0.9747, Time = 0.343018054962
Iter = 19, Error = 0.0553262578276, Accuracy = 0.9746, Time = 0.355448007584
Iter = 20, Error = 0.051652231006, Accuracy = 0.9751, Time = 0.3549721241
Iter = 21, Error = 0.0482568744429, Accuracy = 0.9752, Time = 0.33785700798
Iter = 22, Error = 0.0451115478578, Accuracy = 0.9761, Time = 0.337829113007
Iter = 23, Error = 0.0421919951399, Accuracy = 0.9763, Time = 0.362666130066
Iter = 24, Error = 0.0394774865492, Accuracy = 0.9765, Time = 0.337881088257
Iter = 25, Error = 0.0369502069379, Accuracy = 0.9763, Time = 0.366236925125
Iter = 26, Error = 0.0345947893272, Accuracy = 0.9766, Time = 0.332531929016
Iter = 27, Error = 0.0323979722198, Accuracy = 0.9767, Time = 0.369888067245
Iter = 28, Error = 0.0303482605523, Accuracy = 0.9769, Time = 0.333896875381
Iter = 29, Error = 0.0284355337329, Accuracy = 0.9771, Time = 0.365430116653
Iter = 30, Error = 0.0266507058119, Accuracy = 0.9769, Time = 0.337009906769
Iter = 31, Error = 0.0249855238158, Accuracy = 0.9769, Time = 0.371656894684
Iter = 32, Error = 0.02343243497, Accuracy = 0.9774, Time = 0.341204881668
Iter = 33, Error = 0.0219844283442, Accuracy = 0.9775, Time = 0.340399026871
Iter = 34, Error = 0.0206348869677, Accuracy = 0.9779, Time = 0.340659141541
Iter = 35, Error = 0.0193774819677, Accuracy = 0.9777, Time = 0.337869882584
Iter = 36, Error = 0.0182061601249, Accuracy = 0.978, Time = 0.346117973328
Iter = 37, Error = 0.0171151761218, Accuracy = 0.9781, Time = 0.333026885986
Iter = 38, Error = 0.0160991313368, Accuracy = 0.9781, Time = 0.335018157959
Iter = 39, Error = 0.0151529542386, Accuracy = 0.9779, Time = 0.322831869125
Iter = 40, Error = 0.0142718734609, Accuracy = 0.9781, Time = 0.347544908524
Iter = 41, Error = 0.0134513842852, Accuracy = 0.9782, Time = 0.361871957779
Iter = 42, Error = 0.012687254489, Accuracy = 0.9785, Time = 0.351014137268
Iter = 43, Error = 0.0119755583175, Accuracy = 0.9786, Time = 0.348461866379
