Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.74782919884
Iter = 0, Error = 0.51819047873, Accuracy = 0.912, Time = 0.341273069382
Iter = 1, Error = 0.307462107381, Accuracy = 0.9257, Time = 0.360789060593
Iter = 2, Error = 0.267630164962, Accuracy = 0.9343, Time = 0.344556093216
Iter = 3, Error = 0.236402180379, Accuracy = 0.942, Time = 0.347937107086
Iter = 4, Error = 0.209367848094, Accuracy = 0.9495, Time = 0.375717878342
Iter = 5, Error = 0.186105384394, Accuracy = 0.9543, Time = 0.346996068954
Iter = 6, Error = 0.166272825273, Accuracy = 0.9594, Time = 0.377783060074
Iter = 7, Error = 0.149352600574, Accuracy = 0.9624, Time = 0.347903013229
Iter = 8, Error = 0.134819947698, Accuracy = 0.9638, Time = 0.375778198242
Iter = 9, Error = 0.122234553099, Accuracy = 0.9662, Time = 0.348026990891
Iter = 10, Error = 0.111255374325, Accuracy = 0.9685, Time = 0.375580072403
Iter = 11, Error = 0.101621010224, Accuracy = 0.9698, Time = 0.355736017227
Iter = 12, Error = 0.0931257737034, Accuracy = 0.9703, Time = 0.350718021393
Iter = 13, Error = 0.0856020378039, Accuracy = 0.9715, Time = 0.370621204376
Iter = 14, Error = 0.0789094285187, Accuracy = 0.9723, Time = 0.369641065598
Iter = 15, Error = 0.0729287313774, Accuracy = 0.9727, Time = 0.39239692688
Iter = 16, Error = 0.0675585786657, Accuracy = 0.9733, Time = 0.357441902161
Iter = 17, Error = 0.0627130676332, Accuracy = 0.9745, Time = 0.361105918884
Iter = 18, Error = 0.058319647937, Accuracy = 0.9753, Time = 0.390727043152
Iter = 19, Error = 0.0543173841865, Accuracy = 0.9756, Time = 0.36280298233
Iter = 20, Error = 0.0506554958256, Accuracy = 0.9758, Time = 0.391466856003
Iter = 21, Error = 0.0472919627395, Accuracy = 0.9759, Time = 0.360390901566
Iter = 22, Error = 0.0441920727234, Accuracy = 0.9761, Time = 0.417428016663
Iter = 23, Error = 0.0413270186766, Accuracy = 0.9767, Time = 0.319849967957
Iter = 24, Error = 0.0386726401908, Accuracy = 0.9765, Time = 0.320564985275
Iter = 25, Error = 0.0362084712833, Accuracy = 0.9764, Time = 0.318134069443
Iter = 26, Error = 0.0339171042704, Accuracy = 0.9767, Time = 0.31997179985
Iter = 27, Error = 0.0317837074494, Accuracy = 0.9768, Time = 0.316037893295
Iter = 28, Error = 0.0297955965738, Accuracy = 0.9767, Time = 0.318673849106
Iter = 29, Error = 0.0279418331526, Accuracy = 0.9771, Time = 0.37314414978
Iter = 30, Error = 0.0262128408734, Accuracy = 0.9772, Time = 0.349720954895
Iter = 31, Error = 0.0246001040704, Accuracy = 0.9772, Time = 0.340714931488
Iter = 32, Error = 0.0230959289495, Accuracy = 0.9775, Time = 0.340204000473
Iter = 33, Error = 0.0216932497749, Accuracy = 0.9778, Time = 0.350838184357
Iter = 34, Error = 0.0203855209543, Accuracy = 0.9779, Time = 0.342746973038
Iter = 35, Error = 0.0191666038506, Accuracy = 0.9779, Time = 0.408158063889
Iter = 36, Error = 0.0180306625106, Accuracy = 0.9779, Time = 0.327863931656
Iter = 37, Error = 0.0169720982161, Accuracy = 0.9779, Time = 0.348571062088
Iter = 38, Error = 0.0159855867394, Accuracy = 0.9783, Time = 0.329565048218
Iter = 39, Error = 0.0150661412263, Accuracy = 0.9782, Time = 0.330515146255
Iter = 40, Error = 0.0142091259782, Accuracy = 0.9783, Time = 0.331326961517
Iter = 41, Error = 0.0134102436336, Accuracy = 0.9785, Time = 0.330648899078
Iter = 42, Error = 0.0126655197573, Accuracy = 0.9786, Time = 0.32937502861
Iter = 43, Error = 0.0119712885968, Accuracy = 0.9787, Time = 0.327970981598
Iter = 44, Error = 0.0113241510803, Accuracy = 0.9787, Time = 0.328884840012
Iter = 45, Error = 0.0107209217673, Accuracy = 0.9788, Time = 0.325939893723
Iter = 46, Error = 0.0101585928506, Accuracy = 0.979, Time = 0.34901714325
Iter = 47, Error = 0.00963433860811, Accuracy = 0.9793, Time = 0.328194141388
Iter = 48, Error = 0.00914551417106, Accuracy = 0.9793, Time = 0.327198982239
Iter = 49, Error = 0.00868966107172, Accuracy = 0.9793, Time = 0.327739953995
Iter = 50, Error = 0.00826449407523, Accuracy = 0.9793, Time = 0.327997207642
Iter = 51, Error = 0.00786785451371, Accuracy = 0.9792, Time = 0.32840681076
Iter = 52, Error = 0.00749767653327, Accuracy = 0.9793, Time = 0.330878019333
Iter = 53, Error = 0.00715197185132, Accuracy = 0.9793, Time = 0.345199108124
Iter = 54, Error = 0.00682883077186, Accuracy = 0.9791, Time = 0.329364061356
Iter = 55, Error = 0.00652645060913, Accuracy = 0.9791, Time = 0.430159091949
Iter = 56, Error = 0.00624316200257, Accuracy = 0.9791, Time = 0.31894993782
Iter = 57, Error = 0.00597744515744, Accuracy = 0.9791, Time = 0.326679944992
Iter = 58, Error = 0.0057279319634, Accuracy = 0.9791, Time = 0.328499078751
Iter = 59, Error = 0.00549340218974, Accuracy = 0.9791, Time = 0.326449871063
Iter = 60, Error = 0.00527276144178, Accuracy = 0.979, Time = 0.327698230743
Iter = 61, Error = 0.00506503004468, Accuracy = 0.979, Time = 0.328186035156
Iter = 62, Error = 0.00486931439115, Accuracy = 0.9789, Time = 0.328100204468
Iter = 63, Error = 0.00468480034896, Accuracy = 0.9793, Time = 0.330652952194
Iter = 64, Error = 0.00451073879698, Accuracy = 0.9794, Time = 0.327302932739
Iter = 65, Error = 0.00434644097168, Accuracy = 0.9794, Time = 0.327019929886
Iter = 66, Error = 0.00419126935672, Accuracy = 0.9793, Time = 0.329179048538
Iter = 67, Error = 0.00404464013314, Accuracy = 0.9795, Time = 0.327731132507
Iter = 68, Error = 0.00390600615277, Accuracy = 0.9797, Time = 0.329565048218
Iter = 69, Error = 0.00377485941461, Accuracy = 0.9797, Time = 0.32839512825
Iter = 70, Error = 0.00365072256177, Accuracy = 0.9796, Time = 0.328444004059
Iter = 71, Error = 0.00353315029183, Accuracy = 0.9797, Time = 0.327597141266
Iter = 72, Error = 0.00342172508017, Accuracy = 0.9797, Time = 0.329910993576
Iter = 73, Error = 0.00331605730258, Accuracy = 0.9797, Time = 0.328591108322
Iter = 74, Error = 0.00321578185709, Accuracy = 0.9797, Time = 0.330436944962
Iter = 75, Error = 0.00312056037111, Accuracy = 0.9799, Time = 0.330409049988
Iter = 76, Error = 0.00303007575417, Accuracy = 0.9798, Time = 0.328515052795
Iter = 77, Error = 0.00294403157934, Accuracy = 0.9798, Time = 0.327404022217
Iter = 78, Error = 0.00286215191717, Accuracy = 0.9798, Time = 0.328511953354
Iter = 79, Error = 0.00278417788558, Accuracy = 0.9797, Time = 0.32638502121
Iter = 80, Error = 0.00270986930347, Accuracy = 0.9797, Time = 0.329129934311
Iter = 81, Error = 0.00263899961828, Accuracy = 0.9797, Time = 0.326444864273
Iter = 82, Error = 0.00257135964485, Accuracy = 0.9797, Time = 0.627523899078
Iter = 83, Error = 0.00250675304204, Accuracy = 0.9798, Time = 0.317728042603
Iter = 84, Error = 0.00244499647456, Accuracy = 0.9797, Time = 0.317901849747
Iter = 85, Error = 0.00238592099317, Accuracy = 0.9797, Time = 0.318557977676
