Couldn't import dot_parser, loading of dot files will not be possible.
784 10
3.77079892159
Iter = 0, Error = 0.5544988279, Accuracy = 0.9108, Time = 0.361887931824
Iter = 1, Error = 0.306953133143, Accuracy = 0.9257, Time = 0.356676101685
Iter = 2, Error = 0.26573962562, Accuracy = 0.935, Time = 0.345017910004
Iter = 3, Error = 0.233988539471, Accuracy = 0.9451, Time = 0.345251083374
Iter = 4, Error = 0.206894225705, Accuracy = 0.9511, Time = 0.344858884811
Iter = 5, Error = 0.183765124768, Accuracy = 0.9557, Time = 0.343329906464
Iter = 6, Error = 0.164132033163, Accuracy = 0.959, Time = 0.346901893616
Iter = 7, Error = 0.147442856056, Accuracy = 0.9618, Time = 0.383421897888
Iter = 8, Error = 0.13316325567, Accuracy = 0.9645, Time = 0.3386759758
Iter = 9, Error = 0.12084584344, Accuracy = 0.9666, Time = 0.320441007614
Iter = 10, Error = 0.110134109917, Accuracy = 0.969, Time = 0.328263044357
Iter = 11, Error = 0.100746792696, Accuracy = 0.9702, Time = 0.33685708046
Iter = 12, Error = 0.0924625639301, Accuracy = 0.9711, Time = 0.328428983688
Iter = 13, Error = 0.085106977607, Accuracy = 0.9717, Time = 0.329077959061
Iter = 14, Error = 0.0785411579244, Accuracy = 0.9723, Time = 0.358203887939
Iter = 15, Error = 0.0726519401693, Accuracy = 0.9734, Time = 0.336410045624
Iter = 16, Error = 0.0673448913004, Accuracy = 0.974, Time = 0.327220916748
Iter = 17, Error = 0.0625404284438, Accuracy = 0.9752, Time = 0.325704813004
Iter = 18, Error = 0.0581716757454, Accuracy = 0.9755, Time = 0.327663898468
Iter = 19, Error = 0.0541828667049, Accuracy = 0.9761, Time = 0.327910900116
Iter = 20, Error = 0.0505275297791, Accuracy = 0.9761, Time = 0.326693058014
Iter = 21, Error = 0.0471666506075, Accuracy = 0.9763, Time = 0.353591918945
Iter = 22, Error = 0.0440672489498, Accuracy = 0.9766, Time = 0.326861143112
Iter = 23, Error = 0.0412014356488, Accuracy = 0.9771, Time = 0.326513767242
Iter = 24, Error = 0.0385456260668, Accuracy = 0.9773, Time = 0.32724905014
Iter = 25, Error = 0.0360796894137, Accuracy = 0.9773, Time = 0.327008008957
Iter = 26, Error = 0.0337861492703, Accuracy = 0.9774, Time = 0.328001022339
Iter = 27, Error = 0.0316497500964, Accuracy = 0.9775, Time = 0.344480037689
Iter = 28, Error = 0.029657367836, Accuracy = 0.9779, Time = 0.330775022507
Iter = 29, Error = 0.0277978972356, Accuracy = 0.9779, Time = 0.328897953033
Iter = 30, Error = 0.0260619036174, Accuracy = 0.9784, Time = 0.367435932159
Iter = 31, Error = 0.0244411682862, Accuracy = 0.9787, Time = 0.325896978378
Iter = 32, Error = 0.0229283354961, Accuracy = 0.9786, Time = 0.326455116272
Iter = 33, Error = 0.0215166874243, Accuracy = 0.9788, Time = 0.327363967896
Iter = 34, Error = 0.0201999867499, Accuracy = 0.9788, Time = 0.338347911835
Iter = 35, Error = 0.0189723565363, Accuracy = 0.9788, Time = 0.318979978561
Iter = 36, Error = 0.0178281911155, Accuracy = 0.979, Time = 0.319348096848
Iter = 37, Error = 0.016762110862, Accuracy = 0.9788, Time = 0.325806856155
Iter = 38, Error = 0.0157689623549, Accuracy = 0.9788, Time = 0.320462942123
Iter = 39, Error = 0.0148438389539, Accuracy = 0.979, Time = 0.317907094955
Iter = 40, Error = 0.0139820902278, Accuracy = 0.979, Time = 0.360752820969
Iter = 41, Error = 0.0131793172278, Accuracy = 0.9787, Time = 0.355059862137
Iter = 42, Error = 0.0124314169148, Accuracy = 0.9788, Time = 0.354452133179
Iter = 43, Error = 0.0117346087362, Accuracy = 0.9788, Time = 0.353307962418
Iter = 44, Error = 0.0110854551082, Accuracy = 0.9786, Time = 0.354235172272
Iter = 45, Error = 0.0104808368419, Accuracy = 0.9785, Time = 0.346579790115
