Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.62379670143
Iter = 0, Error = 0.456170991368, Accuracy = 0.918, Time = 0.265571117401
Iter = 1, Error = 0.277164408847, Accuracy = 0.9359, Time = 0.244610071182
Iter = 2, Error = 0.21248928428, Accuracy = 0.9521, Time = 0.218729972839
Iter = 3, Error = 0.168657433928, Accuracy = 0.9585, Time = 0.213057041168
Iter = 4, Error = 0.138737648535, Accuracy = 0.964, Time = 0.211978912354
Iter = 5, Error = 0.117143347907, Accuracy = 0.9677, Time = 0.213306903839
Iter = 6, Error = 0.100888456201, Accuracy = 0.9692, Time = 0.211216926575
Iter = 7, Error = 0.0882081153762, Accuracy = 0.9705, Time = 0.212723970413
Iter = 8, Error = 0.0779800025098, Accuracy = 0.9712, Time = 0.212653160095
Iter = 9, Error = 0.0695029322244, Accuracy = 0.9717, Time = 0.211693048477
Iter = 10, Error = 0.0623305477702, Accuracy = 0.9726, Time = 0.212131977081
Iter = 11, Error = 0.0561694252207, Accuracy = 0.9736, Time = 0.212792873383
Iter = 12, Error = 0.050816287963, Accuracy = 0.9745, Time = 0.212285041809
Iter = 13, Error = 0.0461229259658, Accuracy = 0.9753, Time = 0.211266994476
Iter = 14, Error = 0.0419791836739, Accuracy = 0.9763, Time = 0.212371110916
Iter = 15, Error = 0.0382985883985, Accuracy = 0.9762, Time = 0.210920095444
Iter = 16, Error = 0.0350091863957, Accuracy = 0.9767, Time = 0.215496063232
Iter = 17, Error = 0.0320535262146, Accuracy = 0.9773, Time = 0.211735963821
Iter = 18, Error = 0.0293868571363, Accuracy = 0.9777, Time = 0.212615013123
Iter = 19, Error = 0.026974074421, Accuracy = 0.9779, Time = 0.212723016739
Iter = 20, Error = 0.0247873987507, Accuracy = 0.9781, Time = 0.211295127869
Iter = 21, Error = 0.0228042549292, Accuracy = 0.9777, Time = 0.213856935501
Iter = 22, Error = 0.02100540462, Accuracy = 0.9777, Time = 0.211394786835
Iter = 23, Error = 0.0193735765891, Accuracy = 0.978, Time = 0.212107896805
Iter = 24, Error = 0.017893214501, Accuracy = 0.9783, Time = 0.214246034622
Iter = 25, Error = 0.0165506562098, Accuracy = 0.9787, Time = 0.212861061096
Iter = 26, Error = 0.0153336038359, Accuracy = 0.9786, Time = 0.212468862534
Iter = 27, Error = 0.0142306178079, Accuracy = 0.9789, Time = 0.211692094803
Iter = 28, Error = 0.0132309995119, Accuracy = 0.979, Time = 0.214205026627
Iter = 29, Error = 0.0123248347102, Accuracy = 0.9792, Time = 0.225887060165
Iter = 30, Error = 0.0115030462755, Accuracy = 0.9792, Time = 0.213432073593
Iter = 31, Error = 0.0107573392709, Accuracy = 0.979, Time = 0.21054816246
Iter = 32, Error = 0.0100801017867, Accuracy = 0.979, Time = 0.213407039642
Iter = 33, Error = 0.00946434764841, Accuracy = 0.979, Time = 0.210613012314
Iter = 34, Error = 0.00890373940939, Accuracy = 0.979, Time = 0.215552091599
Iter = 35, Error = 0.00839260956862, Accuracy = 0.9792, Time = 0.24002289772
Iter = 36, Error = 0.00792590995102, Accuracy = 0.9793, Time = 0.211272001266
Iter = 37, Error = 0.00749908943135, Accuracy = 0.9795, Time = 0.213477134705
