Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.99426221848
Iter = 0, Error = 1.21739246191, Accuracy = 0.8345, Time = 0.244210004807
Iter = 1, Error = 0.600354685846, Accuracy = 0.866, Time = 0.253572940826
Iter = 2, Error = 0.466006781858, Accuracy = 0.8707, Time = 0.287493944168
Iter = 3, Error = 0.40685290647, Accuracy = 0.9045, Time = 0.245860099792
Iter = 4, Error = 0.382835123583, Accuracy = 0.9092, Time = 0.249575853348
Iter = 5, Error = 0.351470513493, Accuracy = 0.9125, Time = 0.242969036102
Iter = 6, Error = 0.340404821288, Accuracy = 0.919, Time = 0.247741937637
Iter = 7, Error = 0.322469078328, Accuracy = 0.9214, Time = 0.247220039368
Iter = 8, Error = 0.309640800423, Accuracy = 0.9169, Time = 0.248351097107
Iter = 9, Error = 0.303695012389, Accuracy = 0.9257, Time = 0.245146989822
Iter = 10, Error = 0.301122729126, Accuracy = 0.9227, Time = 0.246402978897
Iter = 11, Error = 0.299643063522, Accuracy = 0.9234, Time = 0.245478153229
Iter = 12, Error = 0.288070503956, Accuracy = 0.9192, Time = 0.252216815948
Iter = 13, Error = 0.285189347461, Accuracy = 0.9221, Time = 0.246371030807
Iter = 14, Error = 0.280288110799, Accuracy = 0.9202, Time = 0.259985923767
Iter = 15, Error = 0.273408227488, Accuracy = 0.9215, Time = 0.260291099548
Iter = 16, Error = 0.271041970338, Accuracy = 0.9203, Time = 0.235653162003
Iter = 17, Error = 0.270477947457, Accuracy = 0.9252, Time = 0.27103805542
Iter = 18, Error = 0.266210790809, Accuracy = 0.9258, Time = 0.262991905212
Iter = 19, Error = 0.258261825746, Accuracy = 0.9265, Time = 0.25263094902
Iter = 20, Error = 0.2518090181, Accuracy = 0.9301, Time = 0.26057600975
Iter = 21, Error = 0.241498791787, Accuracy = 0.9286, Time = 0.253484964371
Iter = 22, Error = 0.235800939095, Accuracy = 0.9248, Time = 0.266140937805
Iter = 23, Error = 0.231068144045, Accuracy = 0.9297, Time = 0.268746852875
Iter = 24, Error = 0.224405490624, Accuracy = 0.9336, Time = 0.245795965195
Iter = 25, Error = 0.228674624163, Accuracy = 0.9312, Time = 0.269035100937
Iter = 26, Error = 0.22149756789, Accuracy = 0.9298, Time = 0.24286198616
Iter = 27, Error = 0.22093149953, Accuracy = 0.929, Time = 0.230262994766
Iter = 28, Error = 0.218490184135, Accuracy = 0.9256, Time = 0.228577136993
Iter = 29, Error = 0.218139670732, Accuracy = 0.9305, Time = 0.229213953018
Iter = 30, Error = 0.217295027078, Accuracy = 0.927, Time = 0.223612070084
Iter = 31, Error = 0.209739448622, Accuracy = 0.9291, Time = 0.222225904465
Iter = 32, Error = 0.205922593489, Accuracy = 0.9327, Time = 0.224472045898
Iter = 33, Error = 0.199599959099, Accuracy = 0.9293, Time = 0.222064971924
Iter = 34, Error = 0.196760301452, Accuracy = 0.9303, Time = 0.220445156097
Iter = 35, Error = 0.19577068139, Accuracy = 0.9318, Time = 0.219910144806
Iter = 36, Error = 0.199840260979, Accuracy = 0.9296, Time = 0.220582962036
Iter = 37, Error = 0.192322392531, Accuracy = 0.9349, Time = 0.218742847443
Iter = 38, Error = 0.188465508711, Accuracy = 0.9332, Time = 0.220369100571
Iter = 39, Error = 0.185922111811, Accuracy = 0.9327, Time = 0.218345880508
Iter = 40, Error = 0.185881279009, Accuracy = 0.9339, Time = 0.224220991135
Iter = 41, Error = 0.183701998123, Accuracy = 0.9325, Time = 0.225759029388
Iter = 42, Error = 0.182498369995, Accuracy = 0.9358, Time = 0.229105949402
Iter = 43, Error = 0.175364508377, Accuracy = 0.9336, Time = 0.218044042587
Iter = 44, Error = 0.175986058962, Accuracy = 0.9324, Time = 0.220419168472
Iter = 45, Error = 0.178598275818, Accuracy = 0.9358, Time = 0.21866607666
