Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.84569478035
Iter = 0, Error = 0.482163788127, Accuracy = 0.9248, Time = 0.262745141983
Iter = 1, Error = 0.249674754241, Accuracy = 0.9448, Time = 0.257752180099
Iter = 2, Error = 0.193110974263, Accuracy = 0.9557, Time = 0.255264043808
Iter = 3, Error = 0.15544875212, Accuracy = 0.9654, Time = 0.26144194603
Iter = 4, Error = 0.129469258954, Accuracy = 0.9689, Time = 0.260621070862
Iter = 5, Error = 0.110357112177, Accuracy = 0.9703, Time = 0.278720140457
Iter = 6, Error = 0.0956122250203, Accuracy = 0.9717, Time = 0.245954990387
Iter = 7, Error = 0.0838580355906, Accuracy = 0.9734, Time = 0.252557039261
Iter = 8, Error = 0.0742515345245, Accuracy = 0.9742, Time = 0.245460987091
Iter = 9, Error = 0.0662300994744, Accuracy = 0.9757, Time = 0.245553016663
Iter = 10, Error = 0.0594068116406, Accuracy = 0.976, Time = 0.245859861374
Iter = 11, Error = 0.0535162589715, Accuracy = 0.9762, Time = 0.245706796646
Iter = 12, Error = 0.0483744014055, Accuracy = 0.9767, Time = 0.245264053345
Iter = 13, Error = 0.0438493032847, Accuracy = 0.9767, Time = 0.24521112442
Iter = 14, Error = 0.0398424142588, Accuracy = 0.9768, Time = 0.261821985245
Iter = 15, Error = 0.0362774922829, Accuracy = 0.9768, Time = 0.246083974838
Iter = 16, Error = 0.0330933415, Accuracy = 0.9771, Time = 0.246406078339
Iter = 17, Error = 0.0302398599103, Accuracy = 0.9777, Time = 0.249696969986
Iter = 18, Error = 0.027676546577, Accuracy = 0.9778, Time = 0.247259140015
Iter = 19, Error = 0.0253710529083, Accuracy = 0.9782, Time = 0.249155044556
Iter = 20, Error = 0.0232964644561, Accuracy = 0.9785, Time = 0.247791051865
Iter = 21, Error = 0.0214282227859, Accuracy = 0.9792, Time = 0.253396987915
Iter = 22, Error = 0.0197432766826, Accuracy = 0.9795, Time = 0.282248020172
Iter = 23, Error = 0.018221048802, Accuracy = 0.9793, Time = 0.252048015594
Iter = 24, Error = 0.0168440046659, Accuracy = 0.9796, Time = 0.255873918533
Iter = 25, Error = 0.0155973177751, Accuracy = 0.9797, Time = 0.263185977936
Iter = 26, Error = 0.0144681829043, Accuracy = 0.9796, Time = 0.268316984177
Iter = 27, Error = 0.0134451885385, Accuracy = 0.9799, Time = 0.262779951096
Iter = 28, Error = 0.0125179621611, Accuracy = 0.9803, Time = 0.262839078903
Iter = 29, Error = 0.0116770377173, Accuracy = 0.9803, Time = 0.297966003418
Iter = 30, Error = 0.0109137306014, Accuracy = 0.9804, Time = 0.261291980743
Iter = 31, Error = 0.0102200574805, Accuracy = 0.9805, Time = 0.291996002197
Iter = 32, Error = 0.00958872604204, Accuracy = 0.9805, Time = 0.26859998703
Iter = 33, Error = 0.00901314267434, Accuracy = 0.9805, Time = 0.3034760952
Iter = 34, Error = 0.00848746590544, Accuracy = 0.9805, Time = 0.262067079544
Iter = 35, Error = 0.00800657346029, Accuracy = 0.9804, Time = 0.278975009918
Iter = 36, Error = 0.00756600539229, Accuracy = 0.9807, Time = 0.257138967514
Iter = 37, Error = 0.0071618570973, Accuracy = 0.9806, Time = 0.249890089035
Iter = 38, Error = 0.00679067625156, Accuracy = 0.9808, Time = 0.264961004257
Iter = 39, Error = 0.00644935917525, Accuracy = 0.9809, Time = 0.278025865555
Iter = 40, Error = 0.00613508116045, Accuracy = 0.9811, Time = 0.266354084015
Iter = 41, Error = 0.00584526668461, Accuracy = 0.9811, Time = 0.246219873428
Iter = 42, Error = 0.00557757335637, Accuracy = 0.981, Time = 0.243559122086
Iter = 43, Error = 0.0053298836434, Accuracy = 0.9808, Time = 0.253471851349
Iter = 44, Error = 0.00510029700573, Accuracy = 0.981, Time = 0.243753910065
Iter = 45, Error = 0.00488711793385, Accuracy = 0.9811, Time = 0.245615959167
Iter = 46, Error = 0.00468882688981, Accuracy = 0.9813, Time = 0.244518041611
Iter = 47, Error = 0.00450407175179, Accuracy = 0.9813, Time = 0.247560977936
Iter = 48, Error = 0.00433164106577, Accuracy = 0.9811, Time = 0.24484205246
Iter = 49, Error = 0.00417045385325, Accuracy = 0.981, Time = 0.248789072037
Iter = 50, Error = 0.00401953583785, Accuracy = 0.9811, Time = 0.245410919189
Iter = 51, Error = 0.00387801590633, Accuracy = 0.9812, Time = 0.244662046432
Iter = 52, Error = 0.00374510662783, Accuracy = 0.9812, Time = 0.246777057648
Iter = 53, Error = 0.00362009995753, Accuracy = 0.9811, Time = 0.245902061462
Iter = 54, Error = 0.0035023586631, Accuracy = 0.9811, Time = 0.239542961121
Iter = 55, Error = 0.00339130436435, Accuracy = 0.9811, Time = 0.239800930023
Iter = 56, Error = 0.00328641634031, Accuracy = 0.9808, Time = 0.238375902176
Iter = 57, Error = 0.00318722032226, Accuracy = 0.9809, Time = 0.237852096558
Iter = 58, Error = 0.00309328926379, Accuracy = 0.9809, Time = 0.244635105133
Iter = 59, Error = 0.00300423405386, Accuracy = 0.981, Time = 0.246515989304
Iter = 60, Error = 0.00291970167267, Accuracy = 0.981, Time = 0.24751496315
Iter = 61, Error = 0.00283936990755, Accuracy = 0.9812, Time = 0.250062942505
Iter = 62, Error = 0.00276294624729, Accuracy = 0.9811, Time = 0.248117208481
Iter = 63, Error = 0.00269016315718, Accuracy = 0.9811, Time = 0.249176979065
Iter = 64, Error = 0.0026207773549, Accuracy = 0.9812, Time = 0.248541116714
Iter = 65, Error = 0.00255456539858, Accuracy = 0.9812, Time = 0.24782204628
Iter = 66, Error = 0.00249132171989, Accuracy = 0.9812, Time = 0.245168924332
Iter = 67, Error = 0.00243085888741, Accuracy = 0.9811, Time = 0.246469974518
Iter = 68, Error = 0.00237300515662, Accuracy = 0.9811, Time = 0.245100975037
Iter = 69, Error = 0.0023176005203, Accuracy = 0.9811, Time = 0.244448900223
Iter = 70, Error = 0.00226450038334, Accuracy = 0.9811, Time = 0.245116949081
Iter = 71, Error = 0.00221356725805, Accuracy = 0.9811, Time = 0.244663953781
Iter = 72, Error = 0.00216467810541, Accuracy = 0.9811, Time = 0.245803833008
Iter = 73, Error = 0.00211771676565, Accuracy = 0.9811, Time = 0.245673179626
Iter = 74, Error = 0.00207257602492, Accuracy = 0.9811, Time = 0.246362924576
Iter = 75, Error = 0.00202915691936, Accuracy = 0.9811, Time = 0.259902954102
Iter = 76, Error = 0.00198736542698, Accuracy = 0.9811, Time = 0.246205091476
Iter = 77, Error = 0.00194711749361, Accuracy = 0.9812, Time = 0.245054006577
Iter = 78, Error = 0.00190833156191, Accuracy = 0.9812, Time = 0.245397090912
Iter = 79, Error = 0.00187093281904, Accuracy = 0.9812, Time = 0.24721288681
Iter = 80, Error = 0.00183485142599, Accuracy = 0.9813, Time = 0.244827985764
Iter = 81, Error = 0.00180002268317, Accuracy = 0.9814, Time = 0.247161149979
Iter = 82, Error = 0.00176638405299, Accuracy = 0.9814, Time = 0.245586872101
Iter = 83, Error = 0.00173387910789, Accuracy = 0.9815, Time = 0.247877836227
Iter = 84, Error = 0.0017024536162, Accuracy = 0.9815, Time = 0.245542049408
Iter = 85, Error = 0.00167205637646, Accuracy = 0.9815, Time = 0.251448869705
Iter = 86, Error = 0.00164264116166, Accuracy = 0.9815, Time = 0.269629955292
Iter = 87, Error = 0.0016141618913, Accuracy = 0.9815, Time = 0.268661022186
Iter = 88, Error = 0.00158657672261, Accuracy = 0.9815, Time = 0.269781827927
Iter = 89, Error = 0.00155984679595, Accuracy = 0.9815, Time = 0.270642995834
Iter = 90, Error = 0.00153393298633, Accuracy = 0.9816, Time = 0.268507003784
Iter = 91, Error = 0.00150880117062, Accuracy = 0.9816, Time = 0.27052283287
Iter = 92, Error = 0.00148441736344, Accuracy = 0.9816, Time = 0.268800020218
Iter = 93, Error = 0.00146075039547, Accuracy = 0.9816, Time = 0.269547939301
Iter = 94, Error = 0.00143776931647, Accuracy = 0.9816, Time = 0.267987966537
Iter = 95, Error = 0.00141544675167, Accuracy = 0.9816, Time = 0.241048812866
Iter = 96, Error = 0.00139375580301, Accuracy = 0.9816, Time = 0.236661195755
Iter = 97, Error = 0.00137267024242, Accuracy = 0.9816, Time = 0.239212036133
Iter = 98, Error = 0.00135216681892, Accuracy = 0.9816, Time = 0.236726999283
Iter = 99, Error = 0.00133222213607, Accuracy = 0.9817, Time = 0.239923000336
