Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.45180177689
Iter = 0, Error = 0.813014170284, Accuracy = 0.8891, Time = 0.266955852509
Iter = 1, Error = 0.381799542157, Accuracy = 0.9055, Time = 0.261711835861
Iter = 2, Error = 0.339189520234, Accuracy = 0.9084, Time = 0.260187864304
Iter = 3, Error = 0.319490570985, Accuracy = 0.9165, Time = 0.264172077179
Iter = 4, Error = 0.300638088942, Accuracy = 0.9195, Time = 0.262382984161
Iter = 5, Error = 0.290262275111, Accuracy = 0.9245, Time = 0.264627933502
Iter = 6, Error = 0.278093912298, Accuracy = 0.9239, Time = 0.267536878586
Iter = 7, Error = 0.268126956318, Accuracy = 0.9285, Time = 0.263758897781
Iter = 8, Error = 0.251089894634, Accuracy = 0.929, Time = 0.284670114517
Iter = 9, Error = 0.236128949906, Accuracy = 0.9341, Time = 0.269917964935
Iter = 10, Error = 0.225404331694, Accuracy = 0.9296, Time = 0.258669137955
Iter = 11, Error = 0.216045475715, Accuracy = 0.9338, Time = 0.297249078751
Iter = 12, Error = 0.203077367581, Accuracy = 0.9395, Time = 0.300356149673
Iter = 13, Error = 0.193907056899, Accuracy = 0.9336, Time = 0.280035972595
Iter = 14, Error = 0.183314176986, Accuracy = 0.9379, Time = 0.303853988647
Iter = 15, Error = 0.177473611463, Accuracy = 0.9412, Time = 0.287269830704
Iter = 16, Error = 0.174701764403, Accuracy = 0.9417, Time = 0.283333063126
Iter = 17, Error = 0.169756669037, Accuracy = 0.9413, Time = 0.315521001816
Iter = 18, Error = 0.162838861442, Accuracy = 0.9409, Time = 0.272884130478
Iter = 19, Error = 0.159703008888, Accuracy = 0.9431, Time = 0.263949871063
Iter = 20, Error = 0.153813559295, Accuracy = 0.9425, Time = 0.257784128189
Iter = 21, Error = 0.148146623779, Accuracy = 0.9458, Time = 0.266223907471
Iter = 22, Error = 0.146432849409, Accuracy = 0.9455, Time = 0.266956090927
Iter = 23, Error = 0.142414679365, Accuracy = 0.9461, Time = 0.258286952972
Iter = 24, Error = 0.138800332623, Accuracy = 0.9455, Time = 0.257509946823
Iter = 25, Error = 0.135883578154, Accuracy = 0.9449, Time = 0.261204004288
Iter = 26, Error = 0.136635961149, Accuracy = 0.9462, Time = 0.257426023483
Iter = 27, Error = 0.128672829555, Accuracy = 0.9475, Time = 0.257874965668
Iter = 28, Error = 0.124994354837, Accuracy = 0.9433, Time = 0.256031036377
Iter = 29, Error = 0.122203556354, Accuracy = 0.9441, Time = 0.27078294754
Iter = 30, Error = 0.1205189915, Accuracy = 0.9449, Time = 0.263320922852
Iter = 31, Error = 0.114240707553, Accuracy = 0.9471, Time = 0.2628698349
Iter = 32, Error = 0.111294940576, Accuracy = 0.9459, Time = 0.259458065033
Iter = 33, Error = 0.112992725733, Accuracy = 0.9463, Time = 0.262633800507
Iter = 34, Error = 0.108414259727, Accuracy = 0.9449, Time = 0.259864807129
Iter = 35, Error = 0.107633194784, Accuracy = 0.9461, Time = 0.261389970779
Iter = 36, Error = 0.104987064574, Accuracy = 0.9449, Time = 0.259063959122
Iter = 37, Error = 0.103497654345, Accuracy = 0.9442, Time = 0.258321046829
Iter = 38, Error = 0.102034400741, Accuracy = 0.9444, Time = 0.256957054138
Iter = 39, Error = 0.0996817960106, Accuracy = 0.946, Time = 0.248518943787
Iter = 40, Error = 0.100752024652, Accuracy = 0.9457, Time = 0.250198125839
Iter = 41, Error = 0.0956060608463, Accuracy = 0.9449, Time = 0.248417854309
Iter = 42, Error = 0.0931152768166, Accuracy = 0.9467, Time = 0.285906076431
Iter = 43, Error = 0.09455998545, Accuracy = 0.9446, Time = 0.259691953659
Iter = 44, Error = 0.0912249898919, Accuracy = 0.9467, Time = 0.255054950714
Iter = 45, Error = 0.0917179329521, Accuracy = 0.9445, Time = 0.25585603714
Iter = 46, Error = 0.0878315449626, Accuracy = 0.945, Time = 0.255630016327
Iter = 47, Error = 0.0847339617074, Accuracy = 0.9473, Time = 0.258220911026
Iter = 48, Error = 0.0849510977983, Accuracy = 0.9471, Time = 0.248914003372
Iter = 49, Error = 0.0841623998445, Accuracy = 0.9463, Time = 0.252449035645
Iter = 50, Error = 0.0803656837191, Accuracy = 0.9464, Time = 0.248188018799
Iter = 51, Error = 0.0791372609935, Accuracy = 0.9446, Time = 0.527372837067
Iter = 52, Error = 0.0806241357542, Accuracy = 0.9478, Time = 0.270332098007
Iter = 53, Error = 0.0811901787687, Accuracy = 0.9462, Time = 0.258263111115
Iter = 54, Error = 0.0799603378495, Accuracy = 0.9457, Time = 0.255888223648
Iter = 55, Error = 0.0803096253792, Accuracy = 0.9483, Time = 0.255592107773
Iter = 56, Error = 0.078137983618, Accuracy = 0.9478, Time = 0.256898880005
Iter = 57, Error = 0.0774041906397, Accuracy = 0.948, Time = 0.255980968475
Iter = 58, Error = 0.0764404552074, Accuracy = 0.9455, Time = 0.255936861038
Iter = 59, Error = 0.0741876732937, Accuracy = 0.9493, Time = 0.255925893784
Iter = 60, Error = 0.0734380831337, Accuracy = 0.9481, Time = 0.256575107574
Iter = 61, Error = 0.071146094513, Accuracy = 0.9481, Time = 0.255867004395
Iter = 62, Error = 0.0690050728648, Accuracy = 0.9467, Time = 0.256240129471
Iter = 63, Error = 0.0718103858727, Accuracy = 0.9463, Time = 0.256308078766
Iter = 64, Error = 0.070124848482, Accuracy = 0.9484, Time = 0.254953145981
Iter = 65, Error = 0.0676136378609, Accuracy = 0.9445, Time = 0.25794005394
Iter = 66, Error = 0.0700408197246, Accuracy = 0.9451, Time = 0.255495071411
Iter = 67, Error = 0.0693091623368, Accuracy = 0.9474, Time = 0.258437871933
Iter = 68, Error = 0.0656276678433, Accuracy = 0.9461, Time = 0.255300045013
Iter = 69, Error = 0.0675767178313, Accuracy = 0.946, Time = 0.257344961166
Iter = 70, Error = 0.0678659686735, Accuracy = 0.9458, Time = 0.262022972107
Iter = 71, Error = 0.0638037373924, Accuracy = 0.9462, Time = 0.262031078339
Iter = 72, Error = 0.0667320250723, Accuracy = 0.9455, Time = 0.26229095459
Iter = 73, Error = 0.0627152517205, Accuracy = 0.9456, Time = 0.264297962189
Iter = 74, Error = 0.0600975715815, Accuracy = 0.9444, Time = 0.258093118668
Iter = 75, Error = 0.0610520181942, Accuracy = 0.9462, Time = 0.257241010666
Iter = 76, Error = 0.0615564029511, Accuracy = 0.9471, Time = 0.257696151733
Iter = 77, Error = 0.062737615835, Accuracy = 0.947, Time = 0.255635023117
Iter = 78, Error = 0.0616501363809, Accuracy = 0.9462, Time = 0.256115198135
Iter = 79, Error = 0.0622070593071, Accuracy = 0.948, Time = 0.256317853928
Iter = 80, Error = 0.0603212134727, Accuracy = 0.9461, Time = 0.258946895599
Iter = 81, Error = 0.0613516844223, Accuracy = 0.943, Time = 0.259113073349
Iter = 82, Error = 0.0568779461774, Accuracy = 0.945, Time = 0.249874830246
Iter = 83, Error = 0.0556257960811, Accuracy = 0.9438, Time = 0.248261213303
Iter = 84, Error = 0.0572926547227, Accuracy = 0.945, Time = 0.248977184296
Iter = 85, Error = 0.0552306077872, Accuracy = 0.9455, Time = 0.24878692627
Iter = 86, Error = 0.054714262816, Accuracy = 0.943, Time = 0.249158143997
Iter = 87, Error = 0.0566770974011, Accuracy = 0.9462, Time = 0.248214006424
Iter = 88, Error = 0.0579315805051, Accuracy = 0.9457, Time = 0.249051809311
Iter = 89, Error = 0.0596402520957, Accuracy = 0.945, Time = 0.248672962189
Iter = 90, Error = 0.0556957072166, Accuracy = 0.9454, Time = 0.249020814896
Iter = 91, Error = 0.056739240512, Accuracy = 0.9444, Time = 0.255844831467
Iter = 92, Error = 0.0562137854333, Accuracy = 0.9454, Time = 0.250495910645
Iter = 93, Error = 0.0575607093885, Accuracy = 0.9428, Time = 0.250550985336
Iter = 94, Error = 0.0569608556035, Accuracy = 0.9446, Time = 0.250247955322
Iter = 95, Error = 0.0529932359494, Accuracy = 0.9491, Time = 0.253025054932
Iter = 96, Error = 0.049112862587, Accuracy = 0.9455, Time = 0.270518779755
Iter = 97, Error = 0.0548171626113, Accuracy = 0.9445, Time = 0.249471902847
Iter = 98, Error = 0.0561650091844, Accuracy = 0.9438, Time = 0.248902082443
Iter = 99, Error = 0.053946882456, Accuracy = 0.9447, Time = 0.256787061691
