Couldn't import dot_parser, loading of dot files will not be possible.
784 10
3.37024140358
Iter = 0, Error = 0.500257638867, Accuracy = 0.9089, Time = 0.292859077454
Iter = 1, Error = 0.303574432631, Accuracy = 0.9214, Time = 0.284917116165
Iter = 2, Error = 0.264541640096, Accuracy = 0.9318, Time = 0.284717082977
Iter = 3, Error = 0.234428378589, Accuracy = 0.9405, Time = 0.297167062759
Iter = 4, Error = 0.208308923275, Accuracy = 0.9465, Time = 0.29608798027
Iter = 5, Error = 0.185600547344, Accuracy = 0.9522, Time = 0.29677605629
Iter = 6, Error = 0.166085704866, Accuracy = 0.9568, Time = 0.298892021179
Iter = 7, Error = 0.149411851469, Accuracy = 0.9605, Time = 0.297142028809
Iter = 8, Error = 0.135147106817, Accuracy = 0.9637, Time = 0.295371055603
Iter = 9, Error = 0.122867587406, Accuracy = 0.9656, Time = 0.297513961792
Iter = 10, Error = 0.112206734026, Accuracy = 0.9678, Time = 0.30273604393
Iter = 11, Error = 0.102869895718, Accuracy = 0.9692, Time = 0.297158002853
Iter = 12, Error = 0.094627276849, Accuracy = 0.9708, Time = 0.300673007965
Iter = 13, Error = 0.0873001069021, Accuracy = 0.9715, Time = 0.290905952454
Iter = 14, Error = 0.0807476908712, Accuracy = 0.9728, Time = 0.270245075226
Iter = 15, Error = 0.0748570314716, Accuracy = 0.9731, Time = 0.300513029099
Iter = 16, Error = 0.0695354307066, Accuracy = 0.9742, Time = 0.300251960754
Iter = 17, Error = 0.0647056304357, Accuracy = 0.9745, Time = 0.316457033157
Iter = 18, Error = 0.0603027842401, Accuracy = 0.9754, Time = 0.26630616188
Iter = 19, Error = 0.0562723316395, Accuracy = 0.9754, Time = 0.288372039795
Iter = 20, Error = 0.0525684805677, Accuracy = 0.9753, Time = 0.268729925156
Iter = 21, Error = 0.0491530995392, Accuracy = 0.9755, Time = 0.27033996582
Iter = 22, Error = 0.0459946430195, Accuracy = 0.9758, Time = 0.266366004944
Iter = 23, Error = 0.043067048218, Accuracy = 0.9763, Time = 0.276135206223
Iter = 24, Error = 0.0403485712893, Accuracy = 0.9769, Time = 0.278617858887
Iter = 25, Error = 0.0378207068038, Accuracy = 0.9772, Time = 0.335985898972
Iter = 26, Error = 0.0354673077907, Accuracy = 0.9773, Time = 0.308897972107
Iter = 27, Error = 0.0332739743454, Accuracy = 0.9774, Time = 0.281396150589
Iter = 28, Error = 0.0312276852324, Accuracy = 0.9776, Time = 0.269383907318
Iter = 29, Error = 0.0293166708104, Accuracy = 0.9779, Time = 0.296169996262
Iter = 30, Error = 0.027530401171, Accuracy = 0.9784, Time = 0.315495967865
Iter = 31, Error = 0.02585957902, Accuracy = 0.9786, Time = 0.311069011688
Iter = 32, Error = 0.0242960502982, Accuracy = 0.9786, Time = 0.308536052704
Iter = 33, Error = 0.0228326269771, Accuracy = 0.9788, Time = 0.298038959503
Iter = 34, Error = 0.0214629225157, Accuracy = 0.979, Time = 0.298332929611
Iter = 35, Error = 0.0201811970901, Accuracy = 0.9791, Time = 0.301358938217
