Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.97782993317
Iter = 0, Error = 1.71086016579, Accuracy = 0.7824, Time = 0.204334974289
Iter = 1, Error = 1.05168455077, Accuracy = 0.8442, Time = 0.205364942551
Iter = 2, Error = 0.809020192574, Accuracy = 0.8634, Time = 0.211546897888
Iter = 3, Error = 0.686863116139, Accuracy = 0.8723, Time = 0.211543083191
Iter = 4, Error = 0.61319053981, Accuracy = 0.879, Time = 0.209256887436
Iter = 5, Error = 0.563574220976, Accuracy = 0.8844, Time = 0.211775064468
Iter = 6, Error = 0.527645605909, Accuracy = 0.8872, Time = 0.210963964462
Iter = 7, Error = 0.500271953585, Accuracy = 0.8901, Time = 0.21057009697
Iter = 8, Error = 0.478619141042, Accuracy = 0.8924, Time = 0.209520101547
Iter = 9, Error = 0.46099109014, Accuracy = 0.8945, Time = 0.21826004982
Iter = 10, Error = 0.446308455275, Accuracy = 0.8962, Time = 0.211164951324
Iter = 11, Error = 0.433850403904, Accuracy = 0.8975, Time = 0.212066888809
Iter = 12, Error = 0.423116474963, Accuracy = 0.8991, Time = 0.214683055878
Iter = 13, Error = 0.413747890412, Accuracy = 0.9003, Time = 0.444243907928
Iter = 14, Error = 0.405480418173, Accuracy = 0.9026, Time = 0.21622300148
Iter = 15, Error = 0.398114992758, Accuracy = 0.9038, Time = 0.212669849396
Iter = 16, Error = 0.391498653861, Accuracy = 0.9045, Time = 0.214411973953
Iter = 17, Error = 0.385511833422, Accuracy = 0.9052, Time = 0.212983131409
Iter = 18, Error = 0.380059637415, Accuracy = 0.9057, Time = 0.218477010727
Iter = 19, Error = 0.375065738778, Accuracy = 0.9065, Time = 0.212697982788
Iter = 20, Error = 0.370468034083, Accuracy = 0.9069, Time = 0.204466104507
Iter = 21, Error = 0.366215410211, Accuracy = 0.9075, Time = 0.204871892929
Iter = 22, Error = 0.362265409297, Accuracy = 0.9077, Time = 0.20428109169
Iter = 23, Error = 0.358582433913, Accuracy = 0.9084, Time = 0.202883958817
Iter = 24, Error = 0.355136415157, Accuracy = 0.9089, Time = 0.203239917755
Iter = 25, Error = 0.351901738997, Accuracy = 0.9091, Time = 0.203159809113
Iter = 26, Error = 0.348856461323, Accuracy = 0.9093, Time = 0.203784942627
Iter = 27, Error = 0.345981659525, Accuracy = 0.9097, Time = 0.204960107803
Iter = 28, Error = 0.343260904712, Accuracy = 0.9101, Time = 0.204622983932
Iter = 29, Error = 0.340679854345, Accuracy = 0.9112, Time = 0.206930160522
Iter = 30, Error = 0.338225961684, Accuracy = 0.9113, Time = 0.20449090004
Iter = 31, Error = 0.335888160312, Accuracy = 0.9118, Time = 0.212111949921
Iter = 32, Error = 0.333656651399, Accuracy = 0.9121, Time = 0.203920125961
Iter = 33, Error = 0.331522734459, Accuracy = 0.9127, Time = 0.201967000961
Iter = 34, Error = 0.329478651952, Accuracy = 0.9131, Time = 0.203732967377
Iter = 35, Error = 0.327517464662, Accuracy = 0.9137, Time = 0.205487966537
Iter = 36, Error = 0.325632934185, Accuracy = 0.9137, Time = 0.225686073303
Iter = 37, Error = 0.323819438267, Accuracy = 0.9143, Time = 0.206852912903
Iter = 38, Error = 0.322071902854, Accuracy = 0.9148, Time = 0.226541042328
Iter = 39, Error = 0.320385716341, Accuracy = 0.9155, Time = 0.205020904541
Iter = 40, Error = 0.318756711148, Accuracy = 0.916, Time = 0.463414907455
Iter = 41, Error = 0.317181073339, Accuracy = 0.9165, Time = 0.204140901566
Iter = 42, Error = 0.31565532073, Accuracy = 0.9172, Time = 0.203593969345
Iter = 43, Error = 0.314176275488, Accuracy = 0.9178, Time = 0.203603982925
Iter = 44, Error = 0.312741015935, Accuracy = 0.9181, Time = 0.203535079956
Iter = 45, Error = 0.311346847783, Accuracy = 0.9186, Time = 0.204874038696
Iter = 46, Error = 0.309991311634, Accuracy = 0.9188, Time = 0.202643871307
Iter = 47, Error = 0.308672136377, Accuracy = 0.9193, Time = 0.203823804855
Iter = 48, Error = 0.307387189411, Accuracy = 0.9194, Time = 0.203634977341
Iter = 49, Error = 0.306134530803, Accuracy = 0.9194, Time = 0.203006982803
Iter = 50, Error = 0.304912354559, Accuracy = 0.9192, Time = 0.215924024582
