Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.66530036926
Iter = 0, Error = 0.703180809155, Accuracy = 0.9234, Time = 0.245744943619
Iter = 1, Error = 0.236317116014, Accuracy = 0.9465, Time = 0.283057928085
Iter = 2, Error = 0.183354690318, Accuracy = 0.9572, Time = 0.246378898621
Iter = 3, Error = 0.150491654054, Accuracy = 0.9628, Time = 0.245933055878
Iter = 4, Error = 0.12763179912, Accuracy = 0.9662, Time = 0.249711036682
Iter = 5, Error = 0.110598123597, Accuracy = 0.9683, Time = 0.21612906456
Iter = 6, Error = 0.0972878167125, Accuracy = 0.9699, Time = 0.218450069427
Iter = 7, Error = 0.0864959085489, Accuracy = 0.9713, Time = 0.215049982071
Iter = 8, Error = 0.077504009349, Accuracy = 0.9726, Time = 0.223845005035
Iter = 9, Error = 0.0698685151789, Accuracy = 0.9736, Time = 0.212849855423
Iter = 10, Error = 0.0632948732132, Accuracy = 0.9742, Time = 0.212411880493
Iter = 11, Error = 0.0575737148533, Accuracy = 0.9749, Time = 0.211369991302
Iter = 12, Error = 0.0525507098373, Accuracy = 0.9753, Time = 0.209678888321
Iter = 13, Error = 0.0481074782127, Accuracy = 0.9761, Time = 0.212332010269
Iter = 14, Error = 0.0441498897477, Accuracy = 0.9766, Time = 0.210886955261
Iter = 15, Error = 0.040603147978, Accuracy = 0.9766, Time = 0.215030908585
Iter = 16, Error = 0.0374079815688, Accuracy = 0.9771, Time = 0.209877967834
Iter = 17, Error = 0.0345174056595, Accuracy = 0.9772, Time = 0.21398806572
Iter = 18, Error = 0.0318940725318, Accuracy = 0.9777, Time = 0.252196073532
Iter = 19, Error = 0.0295078752353, Accuracy = 0.9779, Time = 0.210561990738
Iter = 20, Error = 0.0273338777925, Accuracy = 0.9782, Time = 0.209398031235
Iter = 21, Error = 0.0253505796525, Accuracy = 0.9784, Time = 0.210918903351
Iter = 22, Error = 0.023538969266, Accuracy = 0.9785, Time = 0.209054946899
Iter = 23, Error = 0.0218823031806, Accuracy = 0.9784, Time = 0.214596986771
Iter = 24, Error = 0.0203660075294, Accuracy = 0.9787, Time = 0.21080994606
Iter = 25, Error = 0.0189774309915, Accuracy = 0.9789, Time = 0.20897603035
Iter = 26, Error = 0.0177055067345, Accuracy = 0.9788, Time = 0.212179899216
Iter = 27, Error = 0.0165404303355, Accuracy = 0.9788, Time = 0.208763837814
Iter = 28, Error = 0.0154733228309, Accuracy = 0.9787, Time = 0.216927051544
Iter = 29, Error = 0.0144959894298, Accuracy = 0.979, Time = 0.209789991379
Iter = 30, Error = 0.0136007709593, Accuracy = 0.9789, Time = 0.210967063904
Iter = 31, Error = 0.0127804827242, Accuracy = 0.9792, Time = 0.211817979813
Iter = 32, Error = 0.0120284293107, Accuracy = 0.9791, Time = 0.209315061569
Iter = 33, Error = 0.0113384405894, Accuracy = 0.9792, Time = 0.210919857025
Iter = 34, Error = 0.0107049016997, Accuracy = 0.9792, Time = 0.20920586586
Iter = 35, Error = 0.0101227146574, Accuracy = 0.9792, Time = 0.210998058319
Iter = 36, Error = 0.00958722886389, Accuracy = 0.9791, Time = 0.211271047592
Iter = 37, Error = 0.00909414534907, Accuracy = 0.979, Time = 0.209851026535
Iter = 38, Error = 0.00863949379877, Accuracy = 0.9789, Time = 0.21141910553
Iter = 39, Error = 0.00821962004201, Accuracy = 0.979, Time = 0.210134029388
Iter = 40, Error = 0.00783121295879, Accuracy = 0.9791, Time = 0.211428880692
Iter = 41, Error = 0.00747129395533, Accuracy = 0.9791, Time = 0.209525108337
Iter = 42, Error = 0.00713721123289, Accuracy = 0.9793, Time = 0.21106505394
Iter = 43, Error = 0.00682659658378, Accuracy = 0.9794, Time = 0.216850996017
Iter = 44, Error = 0.00653734069247, Accuracy = 0.9793, Time = 0.21735906601
